InterimNam,Shape_Leng,Num,Section,M_Start,M_End,S_Lat,S_Long,M_Lat,M_Long,E_Lat,E_Long,Leg_Length,Leg_Height,milepost,z,Side
N_238.96_239.06,0.0988565999014,0,0,238.964981079,239.060073853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.96498107910156,462.23667339388743,North
N_239.06_239.96,0.902603447111,1,6,239.060073853,239.960174561,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,239.06007385253906,463.9303849379053,North
N_240.00_240.79,0.798393657042,2,6,239.996582031,240.787277222,43.07741023,-77.32073448,43.07791674,-77.34098872,43.07554205,-77.36102545,2.06804435466,8.6,239.99658203125,462.91603307574786,North
N_244.81_244.91,0.100808423905,3,7,244.805999756,244.90536499,43.09058444,-77.40993263,43.09070526,-77.41206422,43.09075161,-77.41419884,0.216417890279,8.1,244.80599975585938,462.78320294509757,North
N_245.39_245.40,0.011303987749,5,7,245.391159058,245.400604248,43.09125521,-77.42173061,43.09193754,-77.42346507,43.09278363,-77.42504774,0.198819775041,7.9,245.3911590576172,463.8998446566716,North
N_246.87_247.07,0.209534385815,8,7,246.872756958,247.067901611,43.10293669,-77.44347181,43.104531,-77.44980041,43.10236735,-77.45532976,0.68546820146,18.9,246.8727569580078,463.7377308493243,North
N_247.38_247.45,0.06483180435,0,0,247.38444519,247.45451355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.3844451904297,464.3136665323922,North
N_247.75_247.89,0.147359165362,9,7,247.749420166,247.894638062,43.099911,-77.456429,43.08955773,-77.4558886,43.07926028,-77.46089917,1.48863969593,30.5,247.74942016601562,464.228852242517,North
N_247.97_249.11,1.12966824109,9,7,247.971939087,249.109634399,43.099911,-77.456429,43.08955773,-77.4558886,43.07926028,-77.46089917,1.48863969593,30.5,247.97193908691406,463.4666679032431,North
N_249.15_249.46,0.306987991589,11,7,249.15335083,249.460281372,43.07869375,-77.46128352,43.0767362,-77.4627187,43.0748025,-77.464216,0.306987991476,22.0,249.15335083007812,463.43243798382684,North
N_249.49_249.81,0.31623292374,12,7,249.493972778,249.810180664,43.07435754,-77.46449471,43.0695357,-77.46801808,43.06480878,-77.47177729,0.757082177875,13.3,249.4939727783203,463.2632938600457,North
N_250.15_250.19,0.0416947433941,12,7,250.15234375,250.190887451,43.07435754,-77.46449471,43.0695357,-77.46801808,43.06480878,-77.47177729,0.757082177875,13.3,250.15234375,463.7777400970736,North
N_250.29_250.55,0.235139611051,13,7,250.29486084,250.545806885,43.06440407,-77.47233628,43.06345012,-77.4742482,43.06304475,-77.47647088,0.235139610964,46.7,250.29486083984375,463.4395594677978,North
N_250.62_250.96,0.321245690947,16,7,250.624893188,250.955093384,43.06287203,-77.47791022,43.06294149,-77.48089856,43.06382787,-77.48384816,0.315914633494,42.4,250.62489318847656,463.05776387373976,North
N_250.96_251.52,0.557343923694,17,7,250.961837769,251.516204834,43.06398088,-77.48411922,43.06680076,-77.48796477,43.0701698,-77.4903841,0.543946598389,67.17,250.9618377685547,462.47808610576004,North
N_251.83_252.35,0.529495474664,19,7,251.827911377,252.345901489,43.07421514,-77.49324923,43.07684089,-77.49702686,43.07939949,-77.50088666,0.52949547447,43.56,251.82791137695312,464.4613922110075,North
N_252.38_252.44,0.0625505525434,0,0,252.377044678,252.440856934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.37704467773438,464.91224010586023,North
N_252.47_252.65,0.180771405446,20,7,252.467254639,252.646835327,43.07969967,-77.50136845,43.08108013,-77.50323609,43.08243323,-77.50514223,0.268700823958,20.81,252.46725463867188,463.45153652484925,North
N_252.98_253.01,0.0303026154229,21,7,252.98046875,253.010742188,43.08353029,-77.50613565,43.08523501,-77.50745382,43.08690853,-77.50884755,0.270743742416,20.2,252.98046875,463.7252001091823,North
N_253.85_253.88,0.0284090909052,0,0,253.853530884,253.881744385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.85353088378906,464.03619137605466,North
N_254.15_254.78,0.642144182002,24,7,254.15133667,254.779052734,43.09285416,-77.52515152,43.09074489,-77.53145093,43.09090776,-77.5381136,0.722295100452,25.0,254.15133666992188,462.7449814188002,North
N_254.80_254.86,0.0507363797016,28,7,254.804214478,254.855621338,43.09068726,-77.53883071,43.09104593,-77.54103519,43.09130618,-77.54326405,0.228930038498,18.8,254.80421447753906,464.28706878255275,North
N_254.90_255.01,0.112853227589,28,7,254.899505615,255.012741089,43.09068726,-77.53883071,43.09104593,-77.54103519,43.09130618,-77.54326405,0.228930038498,18.8,254.89950561523438,464.96021986683934,North
N_255.09_255.24,0.154169678819,29,7,255.087219238,255.236801147,43.09149436,-77.54541399,43.09200845,-77.5467947,43.09241515,-77.54792936,0.171194147321,6.4,255.08721923828125,487.1219080575372,North
N_255.24_255.28,0.0400001596557,29,7,255.236801147,255.275650024,43.09149436,-77.54541399,43.09200845,-77.5467947,43.09241515,-77.54792936,0.171194147321,6.4,255.23680114746094,488.10730693928787,North
N_256.37_256.98,0.618587099734,35,7,256.367126465,256.981048584,43.09645505,-77.57001465,43.09808027,-77.57487924,43.09959391,-77.5798136,0.54247523647,29.6,256.36712646484375,514.2597534070097,North
N_257.02_257.69,0.668730060013,38,7,257.019012451,257.685668945,43.099791,-77.58051366,43.10271263,-77.5894601,43.10536289,-77.59857501,0.993562189644,27.3,257.0190124511719,515.4094666245394,North
N_257.75_257.81,0.0567630149446,38,7,257.75378418,257.810333252,43.099791,-77.58051366,43.10271263,-77.5894601,43.10536289,-77.59857501,0.993562189644,27.3,257.7537841796875,516.4180428798124,North
N_257.90_258.01,0.112018544927,38,7,257.898376465,258.010406494,43.099791,-77.58051366,43.10271263,-77.5894601,43.10536289,-77.59857501,0.993562189644,27.3,257.89837646484375,516.1132633184691,North
N_258.19_258.31,0.110971191102,41,7,258.194488525,258.305328369,43.10642425,-77.60191767,43.10699822,-77.60381453,43.10758079,-77.60570641,0.207631049642,13.9,258.1944885253906,522.8025349671098,North
S_244.08_244.32,0.239037189835,0,0,244.083496094,244.322036743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.08349609375,462.1028607355537,South
S_245.36_245.50,0.153068517096,4,7,245.359848022,245.501480103,43.09003117,-77.41144656,43.09018801,-77.4177913,43.09176046,-77.42415069,0.67184237976,10.2,245.35984802246094,463.1131148015272,South
S_247.92_247.96,0.0340433581226,0,0,247.923522949,247.955841064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.92352294921875,463.62733683256647,South
S_248.00_248.02,0.0158472519988,0,0,248.001617432,248.017425537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.00161743164062,463.8059814544547,South
S_248.94_248.97,0.0364710292209,10,7,248.93927002,248.968261719,43.08154314,-77.4591202,43.08040466,-77.45936175,43.0794894,-77.460086,0.155629919043,6.9,248.93927001953125,463.42067567102583,South
S_248.97_249.07,0.114674278726,10,7,248.968261719,249.074935913,43.08154314,-77.4591202,43.08040466,-77.45936175,43.0794894,-77.460086,0.155629919043,6.9,248.96826171875,462.97416258564357,South
S_250.35_250.50,0.177316439535,14,7,250.349365234,250.498382568,43.06378545,-77.47237195,43.06316554,-77.47390605,43.06273262,-77.47554984,0.17731643947,31.5,250.349365234375,462.4872927176213,South
S_251.06_251.09,0.0282206758109,18,7,251.060287476,251.085083008,43.06414083,-77.48566641,43.06938281,-77.49037865,43.07468824,-77.4949294,0.873749123707,70.4,251.06028747558594,464.844311205436,South
S_251.16_251.90,0.760451650059,18,7,251.155532837,251.899993896,43.06414083,-77.48566641,43.06938281,-77.49037865,43.07468824,-77.4949294,0.873749123707,70.4,251.15553283691406,461.5516101199079,South
S_254.30_254.34,0.0349909015236,25,7,254.302490234,254.342056274,43.09091081,-77.52768858,43.09054719,-77.52948112,43.09018226,-77.53127316,0.188216900574,25.7,254.302490234375,472.79508446642956,South
S_254.34_254.43,0.0863886656814,25,7,254.342056274,254.425750732,43.09091081,-77.52768858,43.09054719,-77.52948112,43.09018226,-77.53127316,0.188216900574,25.7,254.34205627441406,472.213837364965,South
S_254.78_254.86,0.0894379404956,27,7,254.778366089,254.86491394,43.09011041,-77.53839207,43.0901596,-77.53926971,43.0902723,-77.54014034,0.0894379404638,8.3,254.7783660888672,462.3755935904882,South
S_255.06_255.21,0.159122028454,30,7,255.062240601,255.210586548,43.09118405,-77.54560248,43.09129528,-77.54622233,43.09124733,-77.54685782,0.0674324594679,19.9,255.06224060058594,486.06334552066966,South
S_255.22_255.50,0.288086444712,31,7,255.217315674,255.500091553,43.09111927,-77.54702715,43.0918843,-77.55053491,43.09237558,-77.55412843,0.376061827511,15.5,255.21731567382812,487.80357244879843,South
S_256.36_256.50,0.141493270443,36,7,256.364532471,256.501037598,43.09609372,-77.57025815,43.09625999,-77.57081963,43.09626966,-77.5714178,0.0638988910462,22.7,256.3645324707031,512.809068573504,South
S_256.51_256.98,0.477021150922,37,7,256.507598877,256.977325439,43.09617356,-77.57161125,43.09770562,-77.57575772,43.09903776,-77.58005173,0.477021150746,29.6,256.5075988769531,514.5450137086797,South
S_257.01_258.00,0.984583165844,39,7,257.01260376,257.996276855,43.09923192,-77.58069519,43.10199969,-77.58965524,43.10475034,-77.59862566,0.984583165483,29.08,257.0126037597656,515.194690220013,South
S_258.15_258.45,0.296877858524,40,7,258.153076172,258.448669434,43.10557501,-77.6015102,43.10698865,-77.60597738,43.10828908,-77.61050926,0.494844148277,17.02,258.153076171875,518.1117304862041,South
